Identifier,before_collapse_n_trees,before_collapse_n_nodes,before_collapse_max_pars,before_collapse_min_pars,n_trees,parsimony_score,avg_node_parents,n_nodes,n_edges,n_leaves,tree_min_n_nodes,tree_max_n_nodes,n_nodes_unlabeled,n_tree_roots,n_input_trees,n_unique_inputs,input_min_pars,input_max_pars
19B,13212057600,4363,7948,7943,4831838208,7943,1.183206106870229,4334,4849,3154,4221,4244,4303,1,800,56,7943,7948
20D,309531435918453374976000,5839,11407,11398,11950571827205253365760,11398,1.346460883448643,5728,7072,3848,5439,5480,5663,1,800,260,11399,11406
20F,5160,3683,3756,3751,120,3751,1.5114155251141552,3643,5001,2985,3613,3618,3638,1,800,351,3751,3756
A.21,6,62,135,135,6,135,1.4482758620689655,62,97,32,49,51,62,1,24,6,135,135
AY.111,2,3317,3542,3542,2,3542,1.002691790040377,3317,3327,2573,3313,3314,3317,1,800,2,3542,3542
AY.113,11466178560,5570,7783,7780,509607936,7780,1.0865265760197775,5522,5974,3903,5407,5425,5500,1,800,289,7780,7782
AY.117,219172181114880,8325,9959,9951,5479304527872,9951,1.0835616438356164,8256,8954,6065,8104,8126,8224,1,800,50,9953,9959
AY.119.2,22394880,5456,6420,6418,6488064,6418,1.2114537444933922,5445,6217,4082,5366,5384,5429,1,800,243,6418,6420
AY.121,270521092118937600,9810,14291,14279,59373627899904,14279,1.1357142857142857,9737,10883,7076,9579,9607,9705,1,800,154,14279,14290
AY.125,326149079040,6250,7996,7995,163074539520,7995,1.2560903149138443,6244,7444,4560,6108,6130,6217,1,800,564,7995,7996
AY.127,3826815860736,5487,8507,8503,289910292480,8503,1.2057478772044414,5457,6276,3925,5326,5355,5430,1,800,85,8503,8507
AY.129,265420800,4967,5916,5913,16588800,5913,1.910928143712575,4895,8095,3558,4754,4771,4879,1,800,501,5914,5916
AY.14,884736,6613,8030,8029,393216,8029,1.0411214953271029,6608,6898,5002,6548,6560,6597,1,800,20,8029,8030
AY.33,9484369920,4744,8105,8099,905969664,8099,1.191114245416079,4682,5354,3263,4577,4593,4662,1,800,293,8099,8105
AY.36,116981760,5174,7383,7377,31457280,7377,1.150185873605948,5135,5721,3789,5041,5052,5117,1,800,49,7377,7382
AY.39.1,587068342272,5308,7010,7005,14495514624,7005,1.2097661623108666,5270,6045,3815,5148,5170,5248,1,800,377,7006,7010
AY.42,1006632960,5600,7211,7210,603979776,7210,1.0692871419053964,5595,5985,4093,5501,5518,5576,1,800,42,7210,7211
AY.4.2.1,14155776,8568,9066,9062,1179648,9062,1.0772442588726514,8542,9068,6625,8477,8490,8531,1,800,285,9062,9066
AY.46.5,192,5557,5743,5739,128,5739,1.1041666666666667,5549,6001,4348,5527,5529,5548,1,800,36,5739,5743
AY.46.6,1773813599898004661207040000,9333,11213,11206,146131417203112325991628800,11206,2.58030303030303,9208,18438,6567,8846,8890,9146,1,800,426,11208,11213
AY.54,5317379494258094899200,7323,9063,9059,105290816772573757440,9059,1.4300469483568075,7298,9745,5167,6964,7011,7240,2,800,286,9059,9063
AY.7,19759104,4592,5386,5383,1179648,5383,1.4342478713339641,4533,5992,3475,4462,4479,4520,1,800,624,5383,5386
AY.9.2,668657475601032397455360,8952,11030,11019,3501999070243297689600,11019,1.6906416019615855,8805,12932,6357,8514,8545,8754,1,800,354,11021,11030
AY.98.1,8321103999008768000,7094,9074,9065,242244401831608320,9065,1.2871638762049722,7014,8474,5042,6778,6816,6977,1,800,498,9065,9072
B.1.1.519,40265318400,9805,14928,14925,38654705664,14925,1.1099695585996956,9776,10503,7147,9658,9686,9743,1,800,48,14925,14928
B.1.177.7,256,2148,2230,2227,192,2227,1.9873150105708246,2140,3568,1666,2112,2115,2140,1,800,137,2227,2230
B.1.243,167803701166080,7087,11997,11985,495338913792,11985,1.3579730357973037,6999,8560,4847,6862,6887,6966,1,800,424,11986,11997
B.1.351,1304679810324234240,6250,10290,10283,270521092118937600,10283,1.238748627881449,6208,7353,4385,6004,6037,6163,1,800,114,10283,10289
B.1.427,296058283214965309440000,9850,13039,13032,15955983263796025098240,13032,1.159380378657487,9815,11165,6909,9564,9614,9754,1,800,177,13033,13038
B.1.637,220252962974393696256,8616,11040,11021,492348387656466432,11020,1.175945601359966,8471,9723,6117,8248,8278,8427,1,800,554,11022,11040
BA.1.1.13,204,3300,3331,3325,96,3325,5.592689295039165,3272,11119,2505,3237,3243,3272,1,800,61,3325,3331
BA.1.1.14,2448,4505,4840,4829,560,4829,2.0862239841427157,4446,8327,3436,4364,4368,4443,1,800,137,4829,4840
BA.1.1.15,4408320,5290,5769,5750,237568,5750,9.345575959933223,5225,27268,4026,5143,5158,5217,1,800,209,5750,5769
BA.1.16,8832,4688,4948,4945,1080,4945,2.7842157842157844,4601,9872,3599,4552,4559,4595,1,800,397,4945,4948
D.2,5160,3683,3756,3751,120,3751,1.5114155251141552,3643,5001,2985,3613,3618,3638,1,800,351,3751,3756
Q.3,1296000,3048,3739,3738,77760,3738,1.3489583333333333,2992,3835,2223,2925,2935,2980,1,800,271,3738,3739
